,id,country,coord_1,coord_2,coord_3,coord_4
63,2170,botswana,-23.923541668978199,24.939866065979000,-23.899767085821601,24.963726997375499
64,1999,tanzania,-6.782920436470000,33.992027421280000,-3.973517751520000,35.376304765030000
65,1725,nigeria,10.544432000000100,8.477734999999999,11.234324000000001,8.820596999999999
66,1317,brazil,-20.281853999999999,-43.504686000000000,-20.176749999999998,-43.379407999999998
67,1294,senegal,12.830610800578000,-11.765735149383501,12.840569424145199,-11.748354434967000
68,1037,botswana,-24.424800884353100,25.450944900512699,-24.380169774408301,25.493860244751001
69,1032,indonesia,-8.530279825999971,121.280258197999999,-8.481608398999979,121.321325000000002
70,1031,east timor,-9.379991925999949,124.374113141999999,-9.350379130999951,124.411000000000001
71,1016,nepal,28.129192352294901,85.402053833007898,28.386936187744201,85.802215576171903
72,1015,nepal,28.036609649658299,85.230308532714801,28.127700805664201,85.430015563964801
73,746,indonesia,-8.356219809081200,121.674270629882997,-8.292525011352460,121.745681762695000
74,320,vietnam,20.822079973389400,106.650511432957003,20.896189600459099,106.742178608241005
75,295,indonesia,4.707913915670450,96.737022386430993,4.733233619951000,96.767492280838695
76,261,ghana,6.164918289126460,1.193475723100580,6.183435513333400,1.207981109451100
77,236,prc,30.089618330375000,102.839283845051000,30.322236614693399,103.059010407521995
78,165,kenya,-0.304869166803144,35.523262018981001,-0.298002806757002,35.538539881527598
79,5447,bangladesh,20.747578457739600,92.308863501738898,20.795255644922602,92.348662374570196
80,5349,uganda,0.988736250230659,34.364879746739298,1.027444001562370,34.434259808515201
81,5348,colombia,6.394703189270050,-75.482642500988703,6.436649815857520,-75.434026608022805
82,5303,bangladesh,22.180858536421098,90.332504145963696,22.300133471594300,90.410308100694806
83,4992,zambia,-11.608480866990000,24.268471920940001,-11.365551965550001,24.473266265440000
84,4980,zambia,-12.771289918720001,32.071838035580001,-12.654407652310001,32.278518333439997
85,4968,zambia,-11.630684201839999,32.541439522499999,-11.623927125140000,32.548595656160003
86,4961,zambia,-13.505225988067901,23.916130458609000,-13.496354488749100,23.925780485707200
87,4960,zambia,-12.534641516745801,24.171625884388199,-12.527139282688200,24.178640090595700
88,4959,zambia,-12.491227268810700,30.624937950059302,-12.479656703416399,30.633100589553599
89,4954,zambia,-10.487771189809999,33.175176066219997,-10.054669156110000,33.582224053269996
90,4950,zambia,-10.903835126030000,30.726566773159998,-10.696691910300000,30.872455447210001
91,4945,zambia,-15.081467373210000,23.200991871448501,-15.062514888436500,23.239545027264398
92,4943,zambia,-15.758970941370000,23.603742479769998,-15.511511309330000,24.106446162139999
93,4942,zambia,-15.810114613932800,23.546551562807199,-15.789957561460101,23.556422858347201
94,4940,zambia,-15.071754045507600,23.215355139422400,-15.041158871044001,23.241177291237399
95,4937,zambia,-10.166369333580001,30.023165007629999,-10.002068888169999,30.304580174750001
96,4933,zambia,-10.956949284109999,30.070652918819999,-10.479033818250000,30.651426293850001
97,4932,palestinian territories,32.151644622015503,35.393230349095603,32.154041416718798,35.395335914440899
98,4931,palestinian territories,31.851305854124501,35.264807317207399,31.851955010470700,35.265884070825301
99,4929,palestinian territories,31.913243369809202,35.401733777218901,31.917314571683701,35.406448014749799
100,4926,zambia,-13.372530096921301,24.079690280696401,-13.361070189676401,24.089172894211298
101,4924,zambia,-10.908241306960001,31.672731900380001,-10.778523640570000,31.808863819719999
102,4923,zambia,-11.935391218319999,29.987309358390000,-11.923252199400000,30.000261000980000
103,4922,zambia,-9.547905868280001,30.378205765490002,-9.546678561440000,30.379750717880000
104,4916,zambia,-9.929835416230009,30.366577455500000,-9.330660221999990,30.932742387230000
105,4906,dr congo,-12.537023084199999,29.801284385370000,-12.179310285590001,30.320029045340000
106,4905,zambia,-12.329604428120000,30.267376813889999,-12.258195607019999,30.345611486429998
107,4903,zambia,-12.322183569340000,30.506608464719999,-12.116872331810001,30.786266155240000
108,4901,zambia,-14.890315351360000,23.654487111569999,-14.867607016339999,23.679056146139999
109,4900,zambia,-14.953077127989999,23.799626805780001,-14.363018039200000,24.352397747040001
110,4899,zambia,-10.110468304979999,32.519702868460001,-10.023751319520001,32.637934641839998
111,4845,zambia,-10.477093264400001,32.039716222289996,-10.434320793280000,32.099304156300001
112,4844,zambia,-10.193524228790000,32.165511841179999,-10.190520040299999,32.169824833269999
113,4836,zambia,-10.853677964010000,32.811683231700002,-10.724875128780001,32.877960033420003
114,4821,zambia,-16.644623772420001,27.919211432910000,-16.409519685650000,28.124936924280000
115,4780,papua new guinea,-4.375765961518450,151.998853683471992,-4.324330320346450,152.066917419433992
116,4766,benin,10.611970743234700,1.255290807035560,10.648041329445700,1.279894361600380
117,4699,tanzania,-5.320235214320010,38.913488377329998,-5.317788890310000,38.917736996410000
118,4695,tanzania,-3.924882067290000,33.013915672300001,-3.779299580800000,33.365821495059997
119,4649,tanzania,-5.844392760589980,35.444319226739999,-5.830410866020000,35.459725835320000
120,4648,tanzania,-10.555785978750000,34.611697175499998,-10.539247411620000,34.635794141289999
121,4646,tanzania,-5.246948110839990,35.886229265929998,-5.235772682930000,35.893685796260002
122,4642,tanzania,-5.484896153360000,38.881258943079999,-5.476010565740010,38.896965959070002
123,4637,tanzania,-5.923239749990020,35.332117059230001,-5.876859292450010,35.390481863020000
124,4636,tanzania,-5.871145850790000,35.395982178230000,-5.731406677419980,35.562938049220001
125,4634,sri lanka,7.279310362903200,81.847804732030497,7.307149923213490,81.868232435887904
126,4624,tanzania,-8.134362712600950,38.176930723138000,-7.575223599789450,38.666595258327199
127,4621,tanzania,-7.780527082782130,38.666595258327199,-7.466129999999980,39.156259793516298
128,4613,tanzania,-5.262240560369890,33.637465385504697,-4.919020735875950,34.107074608992598
129,4571,tanzania,-5.076110000000000,29.728020000010002,-4.423244999999990,30.339189999999999
130,4570,tanzania,-4.458384858717170,30.307922263207502,-4.058521651782140,30.766330000010001
131,4563,tanzania,-4.763939703839980,30.083311614989999,-4.436780992270000,30.363462982180000
132,4436,tanzania,-8.975783453880011,33.030134850080003,-8.942999618440000,33.062821130220001
133,4435,tanzania,-9.011389151830020,33.056570702130003,-8.978608534850000,33.089256982270001
134,4432,peru,-12.394916232920000,-76.566553201679994,-12.243475342190001,-76.457591099740000
135,4418,tanzania,-6.033956702420010,36.698681105379997,-6.011337122520000,36.713647820950001
136,4411,tanzania,-10.946502198943699,36.844314826099399,-10.830192968349699,38.019880406795103
137,4402,tanzania,-6.878363861460000,30.470519361200001,-6.876308094979990,30.471788046059999
138,4401,tanzania,-7.480815380379980,30.564883985260000,-7.457001449850000,30.588334899580001
139,4393,tanzania,-9.502700000000001,33.714374542240002,-8.993693570865821,33.990589141850002
140,4382,botswana,-20.810195689890001,26.227815549439999,-20.784991317509999,26.310435118539999
141,4378,tanzania,-11.245583077610000,36.958961263490004,-11.079427033909999,37.770378222470001
142,4376,tanzania,-5.754390225410010,31.163450241090001,-5.261859348770020,32.545059999999999
143,4366,tanzania,-5.174942135249990,31.174688226819999,-5.073538719470010,32.442659100439997
144,4341,botswana,-20.330091398467101,21.557243005309001,-20.314920772222500,21.579751030015899
145,4340,botswana,-22.331826283401000,28.666248766857599,-22.325256726599200,28.671909453800598
146,4338,botswana,-20.282624792881300,24.019243142717499,-20.254658257133300,24.051393582750901
147,4317,botswana,-18.882401193612800,24.863508981352801,-17.780335231745401,25.793365217966500
148,4287,zambia,-9.143890326690000,32.100552981139998,-9.029697145809999,33.284549713129998
149,4286,zambia,-9.388589999999990,32.480419771629997,-9.143890326690000,33.283992726350000
150,4195,kenya,-1.060982461069980,37.105636233790001,-1.045982524469990,37.128604090929997
151,4173,palestinian territories,31.845727080609699,35.160619968693602,31.853605864777101,35.170996082998499
152,4105,tanzania,-5.751357566032410,29.913120596164202,-5.721945639639530,29.943149933411000
153,4089,tanzania,-6.014250653195620,29.764504240638100,-5.995560405020300,29.789616026067399
154,4088,tanzania,-6.040017439136760,29.739388046787202,-6.015947017097640,29.753807602451300
155,4086,tanzania,-6.480189961376910,30.000874174966899,-6.462195073140580,30.028854979410301
156,4034,tanzania,-8.685501156882889,35.268603438455301,-8.108979876862680,35.935970798207400
157,4010,zambia,-15.401291468274501,28.279387363743201,-15.371913692260501,28.310114750217799
158,3995,zambia,-15.463597599653900,28.281746147669899,-15.419666702467300,28.351698158778301
159,3994,zambia,-15.370719330460700,28.276568770704600,-15.347627841941099,28.304163337049800
160,3992,zambia,-15.463714958665800,28.224106104229701,-15.443988867443700,28.258388868190998
161,3991,zambia,-15.459955464331800,28.248708368585099,-15.431403643811800,28.275659204766800
162,3698,tanzania,-9.537015278568671,33.951895860595101,-9.370313618947330,34.090520317777397
163,3697,tanzania,-8.933668884999969,33.503198590000103,-8.900595159999970,33.558194880000002
164,3685,guatemala,14.615012378627201,-91.447676403320600,14.628271144618299,-91.439859037932493
165,3649,turkey,40.931669520209397,29.244721093874901,41.004887988477797,29.311986984490002
166,3523,tanzania,-6.824298471920000,39.234409289360002,-6.814796058250000,39.252219157219997
167,3505,tanzania,-6.890665398798920,39.187636699448603,-6.815260465926320,39.366553031956997
168,3489,tanzania,-7.190952335100170,39.371388608511303,-6.937297973337910,39.562048484080101
169,3479,tanzania,-7.096705162283900,39.017268975491497,-6.905495742154150,39.252571584606102
170,3456,tanzania,-6.936697951088190,39.047318629793097,-6.767500748210450,39.190415595677699
171,3452,tanzania,-6.682735038490760,39.054053897136498,-6.563167024880040,39.203784071156598
172,3427,tanzania,-7.193934322536370,39.373320542151198,-6.958939094158870,39.554572467177799
173,3426,tanzania,-7.072221547300490,39.359621268748000,-6.839860794577450,39.560368313617602
174,3425,tanzania,-7.012065463774300,39.146996411708201,-6.883718541663070,39.384706634060500
175,3424,tanzania,-7.110032545503020,39.012214309699203,-6.914916858035870,39.195531935488702
176,3412,tanzania,-7.192143630084740,39.384785560589400,-6.993250194902410,39.553088599885697
177,3411,tanzania,-7.073649514219190,39.254036641599498,-6.842117597632880,39.448335670863102
178,3410,tanzania,-7.069491270670510,39.432971907939802,-6.843504354283610,39.557278717046600
179,3394,tanzania,-7.106355649548090,39.014235359933998,-6.924826216230690,39.188879721956098
180,3387,tanzania,-6.879977724933070,39.043621254098603,-6.764329912953300,39.180219514590199
181,3314,rsa,-34.108393175030002,22.831649436949998,-33.943074844169999,23.394012107849999
182,3173,usa,70.626305748971703,-160.053963684996006,70.668831030278696,-159.932174337636013
183,3172,usa,69.726959900230298,-163.032831725582014,69.749412101341903,-162.962087633262001
184,3171,usa,68.337211616053494,-166.841356925355996,68.358938703641400,-166.694163126983995
185,3170,usa,70.204054105253604,-151.066500820852013,70.235361549999098,-150.950750886104998
186,3167,usa,71.227811281722794,-156.887950632396013,71.358841070165397,-156.289206128839993
187,3166,usa,70.463786352654594,-157.473590025687997,70.492476849532906,-157.385512829620012
188,3118,uinea-bissau,11.147413760177800,-16.428680419921900,11.606502999834900,-15.634918212890600
189,2953,sri lanka,6.749592060789460,80.902278423376302,6.851315048722180,81.031914466418897
190,2906,guinea-bissau,10.973549898080201,-15.666503906250000,10.974898075619400,-15.665130615234300
191,2598,sri lanka,7.164597174713980,80.115566253662095,7.238169904153350,80.200023651123004
192,1960,nepal,28.034215721999999,85.090029111000007,28.047784518000100,85.103040551999996
193,1205,chile,-31.925631355240402,-71.518303155899005,-31.896760992886499,-71.490343809127793
